author,book_id,book_title
Agatha Christie,121648,"Five Little Pigs (Hercule Poirot, #24)"
Agatha Christie,16300,"Sleeping Murder (Miss Marple, #13)"
James Patterson,13148,"Kiss the Girls (Alex Cross, #2)"
Agatha Christie,209194,The Man in the Brown Suit
Charlaine Harris,140091,"Real Murders (Aurora Teagarden, #1)"
Janet Evanovich,11746513,"Explosive Eighteen (Stephanie Plum, #18)"
Alexander McCall Smith,7039,"Tears of the Giraffe (No. 1 Ladies' Detective Agency, #2)"
Louise Penny,7945049,"Bury Your Dead (Chief Inspector Armand Gamache, #6)"
Ariana Franklin,86643,"Mistress of the Art of Death (Mistress of the Art of Death, #1)"
Charlaine Harris,110494,"Living Dead in Dallas (Sookie Stackhouse, #2)"
Elizabeth  George,31374,"A Great Deliverance (Inspector Lynley, #1)"
Joanne Fluke,33443,"Chocolate Chip Cookie Murder (Hannah Swensen, #1)"
Agatha Christie,16326,"Death in the Clouds (Hercule Poirot, #12)"
Jacqueline Winspear,83083,"Birds of a Feather (Maisie Dobbs, #2)"
Jim Butcher,91477,"Fool Moon (The Dresden Files, #2)"
Agatha Christie,31300,"A Caribbean Mystery (Miss Marple, #10)"
Agatha Christie,16333,"At Bertram's Hotel (Miss Marple, #11)"
Jeff Lindsay,17231,"Darkly Dreaming Dexter (Dexter, #1)"
Louise Penny,17167084,"How the Light Gets In (Chief Inspector Armand Gamache, #9)"
Alan Bradley,6218281,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)"
Sue Grafton,64860,"E is for Evidence (Kinsey Millhone, #5)"
Carolyn Keene,233637,The Hidden Staircase (Nancy Drew #2)
Agatha Christie,215492,"Lord Edgware Dies (Hercule Poirot, #9)"
William Landay,11367726,Defending Jacob
Patricia Cornwell,132336,"Body of Evidence (Kay Scarpetta, #2)"
Dorothy L. Sayers,192888,"Clouds of Witness (Lord Peter Wimsey, #2)"
J.D. Robb,238126,"Immortal in Death (In Death, #3)"
Agatha Christie,31304,"Nemesis (Miss Marple, #12)"
Louise Penny,10680329,"A Trick of the Light (Chief Inspector Armand Gamache, #7)"
Laurie R. King,93938,"A Letter of Mary (Mary Russell, #3)"
Sue Grafton,257990,"G is for Gumshoe (Kinsey Millhone, #7)"
Anthony Horowitz,11093329,"The House of Silk (Sherlock Holmes, #1)"
Tess Gerritsen,32263,"The Surgeon (Rizzoli & Isles, #1)"
Sue Grafton,169211,"F is for Fugitive (Kinsey Millhone, #6)"
Trenton Lee Stewart,83369,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)"
Michael Connelly,79885,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)"
Sara Shepard,162085,"Pretty Little Liars (Pretty Little Liars, #1)"
Dennis Lehane,21671,Mystic River
Janet Evanovich,6420,"Visions of Sugar Plums (Stephanie Plum, #8.5)"
Josh Lanyon,1274861,"Fatal Shadows (The Adrien English Mysteries, #1)"
Henning Mankell,935308,"Faceless Killers (Kurt Wallander, #1)"
Agatha Christie,148584,"Elephants Can Remember (Hercule Poirot, #37)"
Agatha Christie,527744,"After the Funeral (Hercule Poirot, #29)"
P.D. James,3832,Cover Her Face (Adam Dalgliesh #1)
Stephen King,13596166,Joyland
Sue Grafton,102525,"H is for Homicide (Kinsey Millhone, #8)"
Agatha Christie,16315,Crooked House
Janet Evanovich,14740588,"Notorious Nineteen (Stephanie Plum, #19)"
Sue Grafton,643974,"I is for Innocent (Kinsey Millhone, #9)"
Charlaine Harris,140082,"Club Dead (Sookie Stackhouse, #3)"
Agatha Christie,68930,"They Do It with Mirrors (Miss Marple, #6)"
Agatha Christie,477597,"Poirot Investigates (Hercule Poirot, #3)"
Dorothy L. Sayers,351559,"Murder Must Advertise  (Lord Peter Wimsey, #10)"
Dashiell Hammett,80616,The Thin Man
Agatha Christie,433035,"Sad Cypress (Hercule Poirot, #21)"
John Grisham,32499,The Pelican Brief
Brittany Cavallaro,23272028,"A Study in Charlotte (Charlotte Holmes, #1)"
Patricia Cornwell,6539,"The Body Farm (Kay Scarpetta, #5)"
Agatha Christie,388018,"The Clocks (Hercule Poirot, #34)"
Dorothy L. Sayers,192892,"Unnatural Death (Lord Peter Wimsey, #3)"
Lilian Jackson Braun,508903,"The Cat Who Could Read Backwards (Cat Who..., #1)"
James Patterson,13136,"2nd Chance (Women's Murder Club, #2)"
Sue Grafton,89165,"J is for Judgment (Kinsey Millhone, #10)"
Sue Grafton,380975,"K is for Killer (Kinsey Millhone, #11)"
Elizabeth Peters,66534,"The Mummy Case (Amelia Peabody, #3)"
Charlaine Harris,140077,"Dead to the World (Sookie Stackhouse, #4)"
Sue Grafton,64854,"M is for Malice (Kinsey Millhone, #13)"
Charlaine Harris,45020,"Shakespeare's Landlord (Lily Bard, #1)"
Tasha Alexander,288159,"And Only to Deceive (Lady Emily, #1)"
Kathy Reichs,128756,"Death du Jour (Temperance Brennan, #2)"
Louise Penny,338691,"Still Life (Chief Inspector Armand Gamache, #1)"
Charlaine Harris,140078,"Grave Surprise (Harper Connelly, #2)"
Kimberly McCreight,15776309,Reconstructing Amelia
Jussi Adler-Olsen,10822858,"The Keeper of Lost Causes (Department Q, #1)"
J.D. Robb,201175,"Rapture in Death (In Death, #4)"
Jacqueline Winspear,7432,"Pardonable Lies (Maisie Dobbs, #3)"
Agatha Christie,31309,"The Thirteen Problems (Miss Marple, #2)"
William Ritter,20312462,"Jackaby (Jackaby, #1)"
Alexander McCall Smith,7035,"Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3)"
Arthur Conan Doyle,736131,The Valley of Fear
Charlaine Harris,170210,"Dead as a Doornail (Sookie Stackhouse, #5)"
Tana French,29430013,The Trespasser (Dublin Murder Squad #6)
Laurie R. King,184059,"The Moor (Mary Russell, #4)"
Craig Johnson,109901,"The Cold Dish (Walt Longmire, #1)"
John Berendt,386187,Midnight in the Garden of Good and Evil
Janet Evanovich,6419,"Plum Lovin' (Stephanie Plum, #12.5)"
Sue Grafton,643962,"L is for Lawless (Kinsey Millhone, #12)"
Libba Bray,7728889,"The Diviners (The Diviners, #1)"
Maureen Johnson,13595639,"The Name of the Star (Shades of London, #1)"
Charlaine Harris,140097,"An Ice Cold Grave (Harper Connelly, #3)"
Jeffery Deaver,2373,"The Bone Collector (Lincoln Rhyme, #1)"
Patricia Cornwell,232123,"All That Remains (Kay Scarpetta, #3)"
J.D. Robb,74036,"Ceremony in Death (In Death, #5)"
Agatha Christie,16332,"Third Girl (Hercule Poirot, #35)"
Sue Grafton,6193821,"U Is for Undertow (Kinsey Millhone, #21)"
James Patterson,13132,"3rd Degree (Women's Murder Club, #3)"
Agatha Christie,16312,"One, Two, Buckle My Shoe (Hercule Poirot, #22)"
Charlaine Harris,140079,"Definitely Dead (Sookie Stackhouse, #6)"
Jim Butcher,91476,"Grave Peril (The Dresden Files, #3)"
Sue Grafton,64862,"R is for Ricochet (Kinsey Millhone, #18)"
Sue Grafton,64864,"N is for Noose (Kinsey Millhone, #14)"
Janet Evanovich,17908462,"Takedown Twenty (Stephanie Plum, #20)"
Dorothy L. Sayers,246231,"Have His Carcase  (Lord Peter Wimsey, #8)"
Agatha Christie,16303,"The Hollow (Hercule Poirot, #25)"
Jo Nesbø,9572203,"The Snowman (Harry Hole, #7)"
Agatha Christie,140360,"Three Act Tragedy (Hercule Poirot, #11)"
Agatha Christie,16329,"Dead Man's Folly (Hercule Poirot, #31)"
Elizabeth Peters,40495,"Lion in the Valley  (Amelia Peabody, #4)"
Laurie R. King,77259,"O Jerusalem (Mary Russell, #5)"
Ruth Ware,23346377,"In a Dark, Dark Wood"
Jo Nesbø,1991039,"Flaggermusmannen (Harry Hole, #1)"
Harlan Coben,43933,Tell No One
Agatha Christie,121622,"Mrs. McGinty's Dead (Hercule Poirot, #28)"
Charlaine Harris,140075,"All Together Dead (Sookie Stackhouse, #7)"
Matthew Pearl,18402,The Dante Club
Sue Grafton,262229,"Q is for Quarry (Kinsey Millhone, #17)"
Agatha Christie,102313,"N or M? (Tommy and Tuppence, #3)"
John Grisham,5359,The Client
Sue Grafton,410445,"T is for Trespass (Kinsey Millhone, #20)"
Sue Grafton,262228,"O is for Outlaw (Kinsey Millhone, #15)"
Sue Grafton,142079,"S is for Silence (Kinsey Millhone, #19)"
Janet Evanovich,1434105,"Plum Lucky (Stephanie Plum, #13.5)"
Elly Griffiths,6688087,"The Crossing Places (Ruth Galloway, #1)"
J.D. Robb,132778,"Vengeance in Death (In Death, #6)"
Charlaine Harris,140093,"A Bone to Pick (Aurora Teagarden, #2)"
Jacqueline Winspear,7433,"Messenger of Truth (Maisie Dobbs, #4)"
Alexander McCall Smith,7036,"The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency, #4)"
Dorothy L. Sayers,192887,"The Unpleasantness at the Bellona Club (Lord Peter Wimsey, #5)"
Meg Cabot,23220,"Size 12 Is Not Fat (Heather Wells, #1)"
Blue Balliett,444347,"Chasing Vermeer (Chasing Vermeer, #1)"
Barry Lyga,7766027,"I Hunt Killers (Jasper Dent, #1)"
Sue Grafton,380976,"P is for Peril (Kinsey Millhone, #16)"
Mary Kubica,18812405,The Good Girl
Liane Moriarty,17802724,The Husband's Secret
Louise Penny,24586590,The Nature of the Beast (Chief Inspector Armand Gamache #11)
Sue Grafton,10852027,"V is for Vengeance (Kinsey Millhone, #22)"
Kathy Reichs,128754,"Deadly Decisions (Temperance Brennan, #3)"
Patricia Cornwell,85379,"Cruel & Unusual (Kay Scarpetta, #4)"
Deanna Raybourn,1943742,"Silent in the Sanctuary (Lady Julia Grey, #2)"
J.D. Robb,172691,"Conspiracy in Death (In Death, #8)"
Thomas Harris,28877,"Red Dragon (Hannibal Lecter, #1)"
Sue Grafton,17707605,"W is for Wasted (Kinsey Millhone, #23)"
Richard Castle,7776678,"Naked Heat (Nikki Heat, #2)"
Agatha Christie,483103,"The Seven Dials Mystery (Superintendent Battle, #2)"
Tony Hillerman,867387,"The Blessing Way (Leaphorn & Chee, #1)"
Rob Thomas,21437200,"Mr. Kiss and Tell (Veronica Mars, #2)"
Paula Hawkins,33151805,Into the Water
Charlaine Harris,2233407,"From Dead to Worse (Sookie Stackhouse, #8)"
Alan Bradley,26194013,"Thrice the Brinded Cat Hath Mew'd (Flavia de Luce, #8)"
Deanna Raybourn,28186322,"A Curious Beginning (Veronica Speedwell, #1)"
Michelle Hodkin,11408650,"The Unbecoming of Mara Dyer (Mara Dyer, #1)"
Ben H. Winters,13330370,"The Last Policeman (The Last Policeman, #1)"
J.D. Robb,238125,"Holiday in Death (In Death, #7)"
Charlaine Harris,5161066,"Dead and Gone (Sookie Stackhouse, #9)"
Laurie R. King,274400,"Justice Hall (Mary Russell, #6)"
Donna Leon,68099,"Death at La Fenice (Commissario Brunetti, #1)"
Rick Riordan,2921082,"The Maze of Bones  (The 39 Clues, #1)"
Spencer Quinn,5600151,Dog on It (A Chet and Bernie Mystery #1)
Philip Pullman,114982,"The Ruby in the Smoke (Sally Lockhart, #1)"
James Patterson,33668,"4th of July (Women's Murder Club, #4)"
Kathy Reichs,128759,"Fatal Voyage (Temperance Brennan, #4)"
Jim Butcher,91478,"Summer Knight (The Dresden Files, #4)"
M.C. Beaton,139176,"The Quiche of Death (Agatha Raisin, #1)"
Charles Todd,6093438,"A Duty To The Dead (Bess Crawford, #1)"
Louise Penny,28220985,"A Great Reckoning (Chief Inspector Armand Gamache, #12)"
Noah Hawley,26245850,Before the Fall
Charlaine Harris,6344832,"Grave Secret (Harper Connelly, #4)"
Patricia Cornwell,6541,"Cause of Death (Kay Scarpetta, #7)"
Jo Nesbø,465226,"The Redbreast (Harry Hole, #3)"
Jacqueline Winspear,1468706,"An Incomplete Revenge (Maisie Dobbs, #5)"
Markus Zusak,19057,I Am the Messenger
Agatha Christie,16325,Partners in Crime (Tommy and Tuppence #2)
Agatha Christie,16425,"The Labours of Hercules (Hercule Poirot, #26)"
Agatha Christie,212622,"Sparkling Cyanide  (Colonel Race, #4)"
Charles Finch,1044816,"A Beautiful Blue Death (Charles Lenox Mysteries, #1)"
Laurie R. King,93940,"Locked Rooms (Mary Russell, #8)"
Charlaine Harris,32510,"Shakespeare's Champion (Lily Bard, #2)"
Laurie R. King,5226845,"The Language of Bees (Mary Russell, #9)"
Michael Connelly,24244,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)"
China Miéville,4703581,The City & the City
Blake Crouch,27833670,Dark Matter
Caroline Kepnes,20821614,"You (You, #1)"
B.A. Paris,29437949,Behind Closed Doors
Douglas Preston,67035,"Relic (Pendergast, #1)"
Tom Clancy,32682,"Patriot Games (Jack Ryan Universe, #2)"
Michael Crichton,7672,Congo
Thomas Harris,32418,"Hannibal (Hannibal Lecter, #3)"
Robert Ludlum,15769,"The Bourne Supremacy (Jason Bourne, #2)"
Michael Crichton,83763,Prey
Michael Crichton,7669,Timeline
Andy Weir,18007564,The Martian
Michael Crichton,7670,The Andromeda Strain
Lee Child,220970,"Tripwire  (Jack Reacher, #3)"
Michael Crichton,8650,The Lost World
Stephen King,18775247,"Mr. Mercedes (Bill Hodges Trilogy, #1)"
Karin Slaughter,25574782,Pretty Girls
Blake Crouch,15096164,"Pines (Wayward Pines, #1)"
John Grisham,24192,The Runaway Jury
Michael Crichton,455373,Sphere
Lee Child,697776961,"61 Hours (Jack Reacher, #14)"
Ian Fleming,3758,"Casino Royale (James Bond, #1)"
Lee Child,220968,"One Shot (Jack Reacher, #9)"
Suzanne Collins,6148028,"Catching Fire (The Hunger Games, #2)"
Michael Crichton,15860,State of Fear
Michael Crichton,7667,Airframe
Robert Ludlum,31259,"The Bourne Ultimatum (Jason Bourne, #3)"
Dean Koontz,14995,"Odd Thomas (Odd Thomas, #1)"
Lee Child,21745,"Without Fail (Jack Reacher, #6)"
John le Carré,19494,The Spy Who Came In from the Cold
Ken Follett,92364,Eye of the Needle
Stephen King,6320534,Under the Dome
Tom Clancy,34993,"The Sum of All Fears (Jack Ryan Universe, #7)"
Lee Child,4494917,"Gone Tomorrow (Jack Reacher, #13)"
Lee Child,455941,"Persuader (Jack Reacher, #7)"
Lee Child,455930,"Echo Burning (Jack Reacher, #5)"
Lee Child,108942,"Bad Luck and Trouble (Jack Reacher, #11)"
John le Carré,10073506,"Tinker, Tailor, Soldier, Spy"
Tom Clancy,19668,"Without Remorse (Jack Ryan Universe, #1)"
Tom Clancy,318525,Red Storm Rising
Lee Child,10428708,"The Affair (Jack Reacher, #16)"
Lee Child,231562,"The Enemy (Jack Reacher, #8)"
Elizabeth Haynes,15818362,Into the Darkest Corner
Douglas Preston,39031,"The Cabinet of Curiosities (Pendergast, #3)"
Tom Clancy,382549,"The Cardinal of the Kremlin (Jack Ryan Universe, #5)"
Peter  Swanson,21936809,The Kind Worth Killing
Lee Child,2211221,"Nothing to Lose (Jack Reacher, #12)"
Douglas Preston,39030,"Reliquary (Pendergast, #2)"
James Rollins,183822,"Sandstorm (Sigma Force, #1)"
Vince Flynn,7959473,"American Assassin (Mitch Rapp, #1)"
John Grisham,5349,The Rainmaker
Clare Mackintosh,23125266,I Let You Go
Lauren Beukes,16131077,The Shining Girls
James Rollins,92147,"Map of Bones (Sigma Force, #2)"
Tom Clancy,5720,"Rainbow Six (Jack Ryan Universe, #10)"
David Baldacci,15158,"The Camel Club (Camel Club, #1)"
Dot Hutchison,29981261,The Butterfly Garden (The Collector #1)
Tom Clancy,19670,"Debt of Honor (Jack Ryan Universe, #8)"
Josh Malerman,18498558,Bird Box
Steve Berry,75024,"The Templar Legacy (Cotton Malone, #1)"
Tom Clancy,19675,"Executive Orders (Jack Ryan Universe, #9)"
Stephen King,16130549,"Doctor Sleep (The Shining, #2)"
Karin Slaughter,21718,"Blindsighted (Grant County, #1)"
Cormac McCarthy,12497,No Country for Old Men
Stephen King,33124137,Pet Sematary
M.R. Carey,17235026,The Girl with All the Gifts
Dean Koontz,32423,Watchers
Stephen King,11573,The Dead Zone
Michael Crichton,7668,Rising Sun
Stephen King,11566,The Green Mile
Michael Crichton,7661,Next
Lee Child,220969,"Die Trying (Jack Reacher, #2)"
David Baldacci,15159,Absolute Power
David Baldacci,11007587,"Zero Day (John Puller, #1)"
Chelsea Cain,657034,"Heartsick (Archie Sheridan & Gretchen Lowell, #1)"
Stephen King,25526965,"End of Watch (Bill Hodges Trilogy, #3)"
Dean Koontz,32421,Velocity
John Grisham,5355,The Chamber
Stephen King,233667,Firestarter
Stephen King,11590,'Salem's Lot
Peter Benchley,126232,Jaws
John Grisham,5350,The Partner
Chevy Stevens,7159515,Still Missing
Jeff Lindsay,136081,"Dearly Devoted Dexter (Dexter, #2)"
Vince Flynn,184655,"Transfer of Power (Mitch Rapp, #3)"
Lee Child,20263040,"Personal (Jack Reacher, #19)"
John Grisham,1110,The Broker
Neal Stephenson,10552338,Reamde
Daniel Silva,93794,"The Kill Artist (Gabriel Allon, #1)"
Douglas Preston,30068,"The Book of the Dead (Pendergast, #7; Diogenes, #3)"
Lars Kepler,9835731,"The Hypnotist (Joona Linna, #1)"
John Grisham,452235,The Firm
Michael Crichton,7675,Disclosure
Sarah Pinborough,28965131,Behind Her Eyes
Joe Hill,1572953942,NOS4A2
James Rollins,294042,"Black Order (Sigma Force, #3)"
Megan Miranda,23212667,All the Missing Girls
Riley Sager,32796253,Final Girls
Karin Slaughter,21717,"Triptych (Will Trent, #1)"
J.P. Delaney,28016509,The Girl Before
Stephenie Meyer,32940867,The Chemist
Tess Gerritsen,715834,"The Apprentice (Rizzoli & Isles, #2)"
John Grisham,5351,The Street Lawyer
John Grisham,5354,The Brethren
A.S.A. Harrison,16171291,The Silent Wife
Douglas Preston,39028,"The Wheel of Darkness (Pendergast, #8)"
Lee Child,23664710,"Make Me (Jack Reacher, #20)"
David Baldacci,15791154,"The Hit (Will Robie, #2)"
Harlan Coben,43931,The Woods
Stephen King,10603,Cujo
Harlan Coben,15811568,Six Years
Koushun Takami,57891,Battle Royale
James Rollins,294046,"The Judas Strain (Sigma Force, #4)"
James Patterson,13140,"Jack & Jill (Alex Cross, #3)"
Frederick Forsyth,149572,The Odessa File
Dan Wells,7617119,"I Am Not A Serial Killer (John Cleaver, #1)"
Gillian Flynn,26025580,The Grownup
David Baldacci,23153154,"Memory Man (Amos Decker, #1)"
Douglas Preston,7122034,"Fever Dream (Pendergast, #10)"
Tess Gerritsen,32258,"Body Double (Rizzoli & Isles, #4)"
S.K. Tremayne,23553419,The Ice Twins
Raymond Khoury,46438,"The Last Templar (Templar, #1)"
Dean Koontz,16433,"Forever Odd (Odd Thomas, #2)"
Abigail Haas,16074758,Dangerous Girls
Tom Clancy,19707,"Red Rabbit (Jack Ryan Universe, #3)"
Max Barry,16158596,Lexicon
Harlan Coben,26109394,Fool Me Once
Matthew Reilly,144790,"Ice Station (Shane Schofield, #1)"
Robin Cook,20454107,Coma
Tom Clancy,19687,"The Bear and the Dragon (Jack Ryan Universe, #11)"
Joe Hill,6587879,Horns
James Patterson,21436,"Cat and Mouse (Alex Cross, #4)"
Tess Gerritsen,32257,"The Sinner (Rizzoli & Isles, #3)"
Tess Gerritsen,32255,"Vanish (Rizzoli & Isles, #5)"
Stephen King,7278752,Dolores Claiborne
Ian Fleming,3763,"Live and Let Die (James Bond, #2)"
Michael Connelly,32506,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)"
Stephen King,39662,Different Seasons
Stephen King,10567,Cell
Clare Mackintosh,26233572,I See You
David Baldacci,15842230,"The Forgotten (John Puller, #2)"
Steve Berry,74824,"The Alexandria Link (Cotton Malone, #2)"
Harlan Coben,6681454,Caught
Stephen King,10629,Christine
Joe Hill,153025,Heart-Shaped Box
James Rollins,294047,Amazonia
Rosamund Lupton,8196732,Sister
Dean Koontz,16429,The Husband
Douglas Preston,2197227,"Cemetery Dance (Pendergast, #9)"
Tess Gerritsen,32254,"The Mephisto Club (Rizzoli & Isles, #6)"
John Grisham,5346,The Last Juror
Vince Flynn,184661,"The Third Option (Mitch Rapp, #4)"
Jeff Lindsay,206682,"Dexter in the Dark (Dexter, #3)"
Ian Caldwell,18431,The Rule of Four
Dean Koontz,14996,"Brother Odd (Odd Thomas, #3)"
Stephen King,32692,Gerald's Game
John Grisham,5356,The King of Torts
Stephen King,10589,Bag of Bones
Dean Koontz,32441,The Good Guy
Douglas Preston,136636,Thunderhead
Patricia Highsmith,2247142,"The Talented Mr. Ripley (Ripley, #1)"
Stephen King,107291,Needful Things
Douglas Preston,9489502,"Cold Vengeance (Pendergast, #11)"
Robert   Harris,56842,Fatherland
Ian Fleming,3764,"From Russia With Love (James Bond, #5)"
Harlan Coben,22571540,The Stranger
Ken Follett,92367,Whiteout
A.R. Torre,206403186,"The Girl in 6E (Deanna Madden, #1)"
Richard Bachman,9014,The Long Walk
Vince Flynn,154424,"Consent to Kill (Mitch Rapp, #8)"
David Baldacci,15154,"The Collectors (Camel Club, #2)"
David Baldacci,113138,The Winner
Linwood Barclay,1225261,No Time for Goodbye (No Time For Goodbye #1)
Scott Turow,425029,Presumed Innocent
Lee Child,383028,"The Hard Way (Jack Reacher, #10)"
Dean Koontz,32439,Intensity
Vince Flynn,937249,"Separation of Power (Mitch Rapp, #5)"
James Patterson,79378,"Roses are Red (Alex Cross, #6)"
Steve Berry,75020,The Romanov Prophecy
Simon Beckett,46465,"The Chemistry of Death (David Hunter, #1)"
John Buchan,153492,"The 39 Steps (Richard Hannay, #1)"
Dean Koontz,32424,Lightning
Neal Shusterman,764347,"Unwind (Unwind, #1)"
David Baldacci,5509321,"First Family (Sean King & Michelle Maxwell, #4)"
James Rollins,7202829,"The Devil Colony (Sigma Force, #7)"
Steve Berry,5369,The Amber Room
John Grisham,5352,The Summons
John Grisham,3613997,The Associate
Julia Heaberlin,23746004,Black-Eyed Susans
John Connolly,175242,"Every Dead Thing (Charlie Parker, #1)"
David Baldacci,85306,"Hour Game (Sean King & Michelle Maxwell, #2)"
John Sandford,37301,"Rules of Prey (Lucas Davenport, #1)"
David Baldacci,627984,"Stone Cold (Camel Club, #3)"
Vince Flynn,184657,"Memorial Day (Mitch Rapp, #7)"
M.J. Arlidge,23398806,"Eeny Meeny (Helen Grace, #1)"
Steve Berry,1178039,"The Venetian Betrayal (Cotton Malone, #3)"
Vince Flynn,26722,"Act of Treason (Mitch Rapp, #9)"
Mo Hayder,130260,"Birdman (Jack Caffery, #1)"
Richard Bachman,11607,The Running Man
Megan Abbott,25251757,You Will Know Me
Karin Slaughter,2199587,"Fractured (Will Trent, #2)"
Natsuo Kirino,25365,Out
Lee Child,28077464,Night School
Tess Gerritsen,2653622,"The Keepsake (Rizzoli & Isles, #7)"
Camilla Läckberg,7058405,"The Ice Princess (Patrik Hedström, #1)"
Daniel Silva,93795,"The English Assassin (Gabriel Allon, #2)"
Jeffery Deaver,227729,"The Coffin Dancer (Lincoln Rhyme, #2)"
James Patterson,79379,"Violets Are Blue (Alex Cross, #7)"
Rebecca Skloot,6493208,The Immortal Life of Henrietta Lacks
Tina Fey,9418327,Bossypants
Jon Krakauer,1845,Into the Wild
Malcolm Gladwell,2612,The Tipping Point: How Little Things Can Make a Big Difference
Malcolm Gladwell,40102,Blink: The Power of Thinking Without Thinking
Laura Hillenbrand,8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
Mary Roach,32145,Stiff: The Curious Lives of Human Cadavers
Cheryl Strayed,12262741,Wild: From Lost to Found on the Pacific Crest Trail
Jeannette Walls,7445,The Glass Castle
Elizabeth Gilbert,19501,"Eat, Pray, Love"
Amy Poehler,20910157,Yes Please
Bill Bryson,9791,A Walk in the Woods
Michael Pollan,3109,The Omnivore's Dilemma: A Natural History of Four Meals
Mindy Kaling,10335308,Is Everyone Hanging Out Without Me? (And Other Concerns)
Stephen King,10569,On Writing: A Memoir of the Craft
Richard Dawkins,14743,The God Delusion
Stephen Hawking,3869,A Brief History of Time
Marie Kond?,22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
Malala Yousafzai,17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban
Greg Mortenson,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
Eric Schlosser,1097,Fast Food Nation: The Dark Side of the All-American Meal
David Sedaris,4137,Me Talk Pretty One Day
Jon Krakauer,10847,Under the Banner of Heaven: A Story of Violent Faith
Mitch Albom,6900,Tuesdays with Morrie
Oliver Sacks,63697,The Man Who Mistook His Wife for a Hat and Other Clinical Tales
Aziz Ansari,23453112,Modern Romance
Jon Ronson,12391521,The Psychopath Test: A Journey Through the Madness Industry
Viktor E. Frankl,4069,Man's Search for Meaning
Lynne Truss,8600,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation"
Sun Tzu,10534,The Art of War
Steven D. Levitt,1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
Randall Munroe,21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions
Frank McCourt,252577,"Angela's Ashes (Frank McCourt, #1)"
Paul Kalanithi,25899336,When Breath Becomes Air
Michael Pollan,315425,In Defense of Food: An Eater's Manifesto
Katherine Boo,11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity"
Roxane Gay,18813642,Bad Feminist
Howard Zinn,2767,A People's History of the United States
Piper Kerman,6314763,Orange Is the New Black
Anthony Bourdain,33313,Kitchen Confidential: Adventures in the Culinary Underbelly
Caitlin Moran,10600242,How to Be a Woman
Walter Isaacson,11084145,Steve Jobs
Jenny  Lawson,12868761,Let's Pretend This Never Happened: A Mostly True Memoir
Dale Carnegie,4865,How to Win Friends and Influence People
Barbara Demick,6178648,Nothing to Envy: Ordinary Lives in North Korea
Niccolò Machiavelli,28862,The Prince
Christopher McDougall,6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen"
J.D. Vance,27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis
Yuval Noah Harari,23692271,Sapiens: A Brief History of Humankind
Malcolm Gladwell,3228917,Outliers: The Story of Success
Sheryl Sandberg,16071764,"Lean In: Women, Work, and the Will to Lead"
Bill Bryson,7507825,At Home: A Short History of Private Life
Mary Roach,2082136,Bonk: The Curious Coupling of Science and Sex
Daniel James Brown,16158542,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
Richard Dawkins,61535,The Selfish Gene
Siddhartha Mukherjee,7170627,The Emperor of All Maladies: A Biography of Cancer
Malcolm Gladwell,15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants"
John Grogan,12691,Marley and Me: Life and Love With the World's Worst Dog
Stephen R. Covey,36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
Atul Gawande,20696006,Being Mortal: Medicine and What Matters in the End
Jonathan Safran Foer,6604712,Eating Animals
Mary Roach,7237456,Packing for Mars: The Curious Science of Life in the Void
Erik Larson,21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
David Grann,3398625,The Lost City of Z: A Tale of Deadly Obsession in the Amazon
Mindy Kaling,30268522,Why Not Me?
Allie Brosh,17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"
Christopher Hitchens,43369,god is Not Great: How Religion Poisons Everything
Augusten Burroughs,242006,Running with Scissors
Susannah Cahalan,13547180,Brain on Fire: My Month of Madness
Anne Lamott,12543,Bird by Bird: Some Instructions on Writing and Life
Bill Bryson,28,Notes from a Small Island
Bill Bryson,24,In a Sunburned Country
Karl Marx,30474,The Communist Manifesto
David McCullough,1067,1776
Malcolm Gladwell,6516450,What the Dog Saw and Other Adventures
Joan Didion,7815,The Year of Magical Thinking
Bill Bryson,21,A Short History of Nearly Everything
